;CODICE;DESCRIZIONE;;;;;
90;10.41.10;Produzione di olio di oliva da olive prevalentemente non di produzione propria;;;;;
91;10.41.20;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria;;;;;
92;10.41.30;Produzione di oli e grassi animali grezzi o raffinati;;;;;
93;10.42.00;Produzione di margarina e di grassi commestibili simili;;;;;
94;10.51.10;Trattamento igienico del latte;;;;;
95;10.51.20;Produzione dei derivati del latte;;;;;
96;10.52.00;Produzione di gelati senza vendita diretta al pubblico;;;;;
97;10.61.10;Molitura del frumento;;;;;
98;10.61.20;Molitura di altri cereali;;;;;
99;10.61.30;Lavorazione del riso;;;;;
100;10.61.40;Altre lavorazioni di semi e granaglie;;;;;
101;10.62.00;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais);;;;;
102;10.71.10;Produzione di prodotti di panetteria freschi;;;;;
103;10.71.20;Produzione di pasticceria fresca;;;;;
104;10.72.00;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati";;;;;
105;10.73.00;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;;;;;
106;10.81.00;Produzione di zucchero;;;;;
107;10.82.00;Produzione di cacao in polvere, cioccolato, caramelle e confetterie;;;;;
108;10.83.01;Lavorazione del caffè;;;;;
109;10.83.02;Lavorazione del tè e di altri preparati per infusi;;;;;
110;10.84.00;Produzione di condimenti e spezie;;;;;
111;10.85.01;Produzione di piatti pronti a base di carne e pollame;;;;;
112;10.85.02;Produzione di piatti pronti a base di pesce, inclusi fish and chips;;;;;
113;10.85.03;Produzione di piatti pronti a base di ortaggi;;;;;
114;10.85.04;Produzione di pizza confezionata;;;;;
115;10.85.05;Produzione di piatti pronti a base di pasta;;;;;
116;10.85.09;Produzione di pasti e piatti pronti di altri prodotti alimentari;;;;;
117;10.86.00;Produzione di preparati omogeneizzati e di alimenti dietetici;;;;;
118;10.89.01;Produzione di estratti e succhi di carne;;;;;
119;10.89.09;Produzione di altri prodotti alimentari nca;;;;;
120;10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento;;;;;
121;10.92.00;Produzione di prodotti per l'alimentazione degli animali da compagnia;;;;;
122;11;INDUSTRIA DELLE BEVANDE;;;;;
123;11.01.00;Distillazione, rettifica e miscelatura degli alcolici;;;;;
124;11.02.10;Produzione di vini da tavola e v.q.p.r.d.;;;;;
125;11.02.20;Produzione di vino spumante e altri vini speciali;;;;;
