;CODICE;DESCRIZIONE;;;;;
369;28.15.10;Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli);;;;;
370;28.15.20;Fabbricazione di cuscinetti a sfere;;;;;
371;28.21.10;Fabbricazione di forni, fornaci e bruciatori;;;;;
372;28.21.21;Fabbricazione di caldaie per riscaldamento;;;;;
373;28.21.29;Fabbricazione di altri sistemi per riscaldamento;;;;;
374;28.22.01;Fabbricazione di ascensori, montacarichi e scale mobili;;;;;
375;28.22.02;Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli;;;;;
376;28.22.03;Fabbricazione di carriole;;;;;
377;28.22.09;Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione;;;;;
378;28.23.01;Fabbricazione di cartucce toner;;;;;
379;28.23.09;Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche);;;;;
380;28.24.00;Fabbricazione di utensili portatili a motore;;;;;
381;28.25.00;"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi";;;;;
382;28.29.10;Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori);;;;;
383;28.29.20;Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori);;;;;
384;28.29.30;Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori);;;;;
385;28.29.91;Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico;;;;;
386;28.29.92;Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico;;;;;
387;28.29.93;Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici);;;;;
388;28.29.99;Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca;;;;;
389;28.30.10;Fabbricazione di trattori agricoli;;;;;
390;28.30.90;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia;;;;;
391;28.41.00;Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili);;;;;
392;28.49.01;Fabbricazione di macchine per la galvanostegia;;;;;
393;28.49.09;Fabbricazione di altre macchine utensili (incluse parti e accessori) nca;;;;;
394;28.91.00;Fabbricazione di macchine per la metallurgia (incluse parti e accessori);;;;;
395;28.92.01;Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri;;;;;
396;28.92.09;Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori);;;;;
397;28.93.00;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori);;;;;
398;28.94.10;Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori);;;;;
399;28.94.20;Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori);;;;;
400;28.94.30;Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori);;;;;
401;28.95.00;Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori);;;;;
402;28.96.00;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori);;;;;
403;28.99.10;Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori);;;;;
404;28.99.20;Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori);;;;;
405;28.99.30;Fabbricazione di apparecchi per istituti di bellezza e centri di benessere;;;;;
406;28.99.91;Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili;;;;;
407;28.99.92;Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento;;;;;
408;28.99.93;"Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento";;;;;
409;28.99.99;Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori);;;;;
410;29;FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI;;;;;
411;29.10.00;Fabbricazione di autoveicoli;;;;;
412;29.20.00;Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi;;;;;
413;29.31.00;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori;;;;;
414;29.32.01;Fabbricazione di sedili per autoveicoli;;;;;
415;29.32.09;Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca;;;;;
416;30;FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO;;;;;
417;30.11.01;Fabbricazione di sedili per navi;;;;;
418;30.11.02;Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi);;;;;
419;30.12.00;Costruzione di imbarcazioni da diporto e sportive;;;;;
420;30.20.01;Fabbricazione di sedili per tram, filovie e metropolitane;;;;;
421;30.20.02;Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere;;;;;
422;30.30.01;Fabbricazione di sedili per aeromobili;;;;;
423;30.30.02;Fabbricazione di missili balistici;;;;;
424;30.30.09;Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca;;;;;
425;30.40.00;Fabbricazione di veicoli militari da combattimento;;;;;
426;30.91.11;Fabbricazione di motori per motocicli;;;;;
427;30.91.12;Fabbricazione di motocicli;;;;;
428;30.91.20;Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori;;;;;
429;30.92.10;Fabbricazione e montaggio di biciclette;;;;;
430;30.92.20;Fabbricazione di parti ed accessori per biciclette;;;;;
431;30.92.30;Fabbricazione di veicoli per invalidi (incluse parti e accessori);;;;;
432;30.92.40;Fabbricazione di carrozzine e passeggini per neonati;;;;;
433;30.99.00;Fabbricazione di veicoli a trazione manuale o animale;;;;;
434;31;FABBRICAZIONE DI MOBILI;;;;;
435;31.01.10;Fabbricazione di sedie e poltrone per ufficio e negozi;;;;;
436;31.01.21;Fabbricazione di altri mobili metallici per ufficio e negozi;;;;;
437;31.01.22;Fabbricazione di altri mobili non metallici per ufficio e negozi;;;;;
438;31.02.00;Fabbricazione di mobili per cucina;;;;;
439;31.03.00;Fabbricazione di materassi;;;;;
440;31.09.10;Fabbricazione di mobili per arredo domestico;;;;;
441;31.09.20;Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi);;;;;
442;31.09.30;Fabbricazione di poltrone e divani;;;;;
443;31.09.40;Fabbricazione di parti e accessori di mobili;;;;;
444;31.09.50;Finitura di mobili;;;;;
445;31.09.90;Fabbricazione di altri mobili (inclusi quelli per arredo esterno);;;;;
446;32;ALTRE INDUSTRIE MANIFATTURIERE;;;;;
447;32.11.00;Coniazione di monete;;;;;
448;32.12.10;Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi;;;;;
449;32.12.20;Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale;;;;;
450;32.13.01;Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi);;;;;
451;32.13.09;Fabbricazione di bigiotteria e articoli simili nca;;;;;
452;32.20.00;Fabbricazione di strumenti musicali (incluse parti e accessori);;;;;
453;32.30.00;Fabbricazione di articoli sportivi;;;;;
454;32.40.10;Fabbricazione di giochi (inclusi i giochi elettronici);;;;;
455;32.40.20;Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo);;;;;
456;32.50.11;Fabbricazione di materiale medico-chirurgico e veterinario;;;;;
457;32.50.12;Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori);;;;;
458;32.50.13;Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario;;;;;
459;32.50.14;Fabbricazione di centrifughe per laboratori;;;;;
460;32.50.20;Fabbricazione di protesi dentarie (inclusa riparazione);;;;;
461;32.50.30;Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione);;;;;
462;32.50.40;Fabbricazione di lenti oftalmiche;;;;;
463;32.50.50;"Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni";;;;;
464;32.91.00;Fabbricazione di scope e spazzole;;;;;
465;32.99.11;Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza;;;;;
466;32.99.12;Fabbricazione di articoli in plastica per la sicurezza personale;;;;;
467;32.99.13;Fabbricazione di articoli in metallo per la sicurezza personale;;;;;
468;32.99.14;Fabbricazione di maschere antigas;;;;;
469;32.99.19;Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza;;;;;
470;32.99.20;Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini;;;;;
471;32.99.30;Fabbricazione di oggetti di cancelleria;;;;;
472;32.99.40;Fabbricazione di casse funebri;;;;;
473;32.99.90;Fabbricazione di altri articoli nca;;;;;
474;33;RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE;;;;;
475;33.11.01;Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine;;;;;
476;33.11.02;Riparazione e manutenzione di utensileria ad azionamento manuale;;;;;
477;33.11.03;Riparazione e manutenzione di armi, sistemi d'arma e munizioni;;;;;
478;33.11.04;Riparazione e manutenzione di casseforti, forzieri, porte metalliche blindate;;;;;
479;33.11.05;Riparazione e manutenzione di armi bianche;;;;;
480;33.11.06;Riparazione e manutenzione di container;;;;;
481;33.11.07;Riparazione e manutenzione di carrelli per la spesa;;;;;
482;33.11.09;Riparazione e manutenzione di altri prodotti in metallo;;;;;
483;33.12.10;Riparazione e manutenzione di macchine di impiego generale;;;;;
484;33.12.20;Riparazione e manutenzione di forni, fornaci e bruciatori;;;;;
485;33.12.30;Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori);;;;;
486;33.12.40;Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione;;;;;
487;33.12.51;Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi computer, periferiche, fax);;;;;
488;33.12.52;Riparazione e manutenzione di bilance e macchine automatiche per la vendita e la distribuzione;;;;;
489;33.12.53;Riparazione e manutenzione di macchine per le industrie chimiche, petrolchimiche e petrolifere;;;;;
490;33.12.54;Riparazione e manutenzione di macchine per la dosatura, la confezione e l'imballaggio;;;;;
491;33.12.55;Riparazione e manutenzione di estintori (inclusa la ricarica);;;;;
492;33.12.59;Riparazione e manutenzione di altre macchine di impiego generale nca;;;;;
493;33.12.60;Riparazione e manutenzione di trattori agricoli;;;;;
494;33.12.70;Riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia;;;;;
495;33.12.91;Riparazione e manutenzione di parti intercambiabili per macchine utensili;;;;;
496;33.12.92;Riparazione e manutenzione di giostre, altalene, padiglioni da tiro al bersaglio ed altre attrezzature per parchi di divertimento;;;;;
497;33.12.99;Riparazione e manutenzione di altre macchine per impieghi speciali nca (incluse le macchine utensili);;;;;
498;33.13.01;Riparazione e manutenzione di apparecchiature ottiche, fotografiche e cinematografiche (escluse videocamere);;;;;
499;33.13.02;;;;;;
500;33.13.03;Riparazione e manutenzione di apparecchi elettromedicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria;;;;;
501;33.13.04;Riparazione e manutenzione di apparati di distillazione per laboratori, di centrifughe per laboratori e di macchinari per pulizia ad ultrasuoni per laboratori;;;;;
502;33.13.09;Riparazione e manutenzione di altre apparecchiature elettroniche (escluse quelle per le telecomunicazioni ed i computer);;;;;
503;33.14.00;Riparazione e manutenzione di apparecchiature elettriche (esclusi gli elettrodomestici);;;;;
504;33.14.01;;;;;;
505;33.14.09;;;;;;
506;33.15.00;Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto (esclusi i loro motori);;;;;
507;33.16.00;Riparazione e manutenzione di aeromobili e di veicoli spaziali;;;;;
508;33.17.00;Riparazione e manutenzione di materiale rotabile ferroviario, tranviario, filoviario e per metropolitane (esclusi i loro motori);;;;;
509;33.19.01;Riparazioni di pallets e contenitori in legno per trasporto;;;;;
510;33.19.02;Riparazione di prodotti in gomma;;;;;
511;33.19.03;Riparazione di articoli in vetro;;;;;
512;33.19.04;Riparazioni di altri prodotti in legno nca;;;;;
513;33.19.09;Riparazione di altre apparecchiature nca;;;;;
514;33.20.01;"Installazione di motori, generatori e trasformatori elettrici; di apparecchiature per la distribuzione e il controllo dell'elettricità (esclusa l'installazione all'interno degli edifici)";;;;;
515;33.20.02;Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici);;;;;
516;33.20.03;Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali);;;;;
517;33.20.04;Installazione di cisterne, serbatoi e contenitori in metallo;;;;;
518;33.20.05;Installazione di generatori di vapore (escluse le caldaie per il riscaldamento centrale ad acqua calda);;;;;
519;33.20.06;Installazione di macchine per ufficio, di mainframe e computer simili;;;;;
520;33.20.07;Installazione di apparecchi medicali, di apparecchi e strumenti per odontoiatria;;;;;
521;33.20.08;Installazione di apparecchi elettromedicali;;;;;
522;33.20.09;Installazione di altre macchine ed apparecchiature industriali;;;;;
523;D;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;;;;;
524;35;FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA;;;;;
525;35.11.00;Produzione di energia elettrica;;;;;
526;35.12.00;Trasmissione di energia elettrica;;;;;
527;35.13.00;Distribuzione di energia elettrica;;;;;
528;35.14.00;Commercio di energia elettrica;;;;;
529;35.21.00;Produzione di gas;;;;;
530;35.22.00;Distribuzione di combustibili gassosi mediante condotte;;;;;
531;35.23.00;Commercio di gas distribuito mediante condotte;;;;;
532;35.30.00;Fornitura di vapore e aria condizionata;;;;;
533;E;"FORNITURA DI ACQUA; RETI FOGNARIE, ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO";;;;;
534;36;RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA;;;;;
535;36.00.00;Raccolta, trattamento e fornitura di acqua;;;;;
536;37;GESTIONE DELLE RETI FOGNARIE;;;;;
537;37.00.00;Raccolta e depurazione delle acque di scarico;;;;;
538;38;"ATTIVITÀ DI RACCOLTA, TRATTAMENTO E SMALTIMENTO DEI RIFIUTI; RECUPERO DEI MATERIALI";;;;;
539;38.11.00;Raccolta di rifiuti solidi non pericolosi;;;;;
540;38.12.00;Raccolta di rifiuti pericolosi solidi e non solidi;;;;;
541;38.21.01;Produzione di compost;;;;;
542;38.21.09;Trattamento e smaltimento di altri rifiuti non pericolosi;;;;;
543;38.22.00;Trattamento e smaltimento di rifiuti pericolosi;;;;;
544;38.31.10;Demolizione di carcasse;;;;;
545;38.31.20;Cantieri di demolizione navali;;;;;
546;38.32.10;Recupero e preparazione per il riciclaggio di cascami e rottami metallici;;;;;
547;38.32.20;Recupero e preparazione per il riciclaggio di materiale plastico per produzione di materie prime plastiche, resine sintetiche;;;;;
548;38.32.30;Recupero e preparazione per il riciclaggio dei rifiuti solidi urbani, industriali e biomasse;;;;;
549;39;ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI;;;;;
550;39.00.01;Attività di rimozione di strutture ed elementi in amianto specializzata per l'edilizia;;;;;
551;39.00.09;Altre attività di risanamento e altri servizi di gestione dei rifiuti;;;;;
552;F;COSTRUZIONI;;;;;
553;41;COSTRUZIONE DI EDIFICI;;;;;
554;41.10.00;Sviluppo di progetti immobiliari senza costruzione;;;;;
555;41.20.00;Costruzione di edifici residenziali e non residenziali;;;;;
556;42;INGEGNERIA CIVILE;;;;;
557;42.11.00;Costruzione di strade, autostrade e piste aeroportuali;;;;;
558;42.12.00;Costruzione di linee ferroviarie e metropolitane;;;;;
559;42.13.00;Costruzione di ponti e gallerie;;;;;
560;42.21.00;Costruzione di opere di pubblica utilità per il trasporto di fluidi;;;;;
561;42.22.00;Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni;;;;;
562;42.91.00;Costruzione di opere idrauliche;;;;;
563;42.99.01;Lottizzazione dei terreni connessa con l'urbanizzazione;;;;;
564;42.99.09;Altre attività di costruzione di altre opere di ingegneria civile nca;;;;;
565;43;LAVORI DI COSTRUZIONE SPECIALIZZATI;;;;;
566;43.11.00;Demolizione;;;;;
567;43.12.00;Preparazione del cantiere edile e sistemazione del terreno;;;;;
568;43.13.00;Trivellazioni e perforazioni;;;;;
569;43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione);;;;;
570;43.21.02;Installazione di impianti elettronici (inclusa manutenzione e riparazione);;;;;
571;43.21.03;Installazione impianti di illuminazione stradale e dispositivi elettrici di segnalazione, illuminazione delle piste degli aeroporti (inclusa manutenzione e riparazione);;;;;
572;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione;;;;;
573;43.22.02;Installazione di impianti per la distribuzione del gas (inclusa manutenzione e riparazione);;;;;
574;43.22.03;Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione);;;;;
575;43.22.04;Installazione di impianti di depurazione per piscine (inclusa manutenzione e riparazione);;;;;
576;43.22.05;Installazione di impianti di irrigazione per giardini (inclusa manutenzione e riparazione);;;;;
577;43.29.01;Installazione, riparazione e manutenzione di ascensori e scale mobili;;;;;
578;43.29.02;Lavori di isolamento termico, acustico o antivibrazioni;;;;;
579;43.29.09;Altri lavori di costruzione e installazione nca;;;;;
580;43.31.00;Intonacatura e stuccatura;;;;;
581;43.32.01;Posa in opera di casseforti, forzieri, porte blindate;;;;;
582;43.32.02;Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili;;;;;
583;43.33.00;Rivestimento di pavimenti e di muri;;;;;
584;43.34.00;Tinteggiatura e posa in opera di vetri;;;;;
585;43.39.01;Attività non specializzate di lavori edili (muratori);;;;;
586;43.39.09;Altri lavori di completamento e di finitura degli edifici nca;;;;;
587;43.91.00;Realizzazione di coperture;;;;;
588;43.99.01;Pulizia a vapore, sabbiatura e attività simili per pareti esterne di edifici;;;;;
589;43.99.02;Noleggio di gru ed altre attrezzature con operatore per la costruzione o la demolizione;;;;;
590;43.99.09;Altre attività di lavori specializzati di costruzione nca;;;;;
591;G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";;;;;
592;45;COMMERCIO ALL'INGROSSO E AL DETTAGLIO E RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI;;;;;
593;45.11.01;Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri;;;;;
594;45.11.02;Intermediari del commercio di autovetture e di autoveicoli leggeri (incluse le agenzie di compravendita);;;;;
595;45.19.01;Commercio all'ingrosso e al dettaglio di altri autoveicoli;;;;;
596;45.19.02;Intermediari del commercio di altri autoveicoli (incluse le agenzie di compravendita);;;;;
597;45.20.10;Riparazioni meccaniche di autoveicoli;;;;;
598;45.20.20;Riparazione di carrozzerie di autoveicoli;;;;;
599;45.20.30;Riparazione di impianti elettrici e di alimentazione per autoveicoli;;;;;
600;45.20.40;Riparazione e sostituzione di pneumatici per autoveicoli;;;;;
601;45.20.91;Lavaggio auto;;;;;
602;45.20.99;Altre attività di manutenzione e di riparazione di autoveicoli;;;;;
603;45.31.01;Commercio all'ingrosso di parti e accessori di autoveicoli;;;;;
604;45.31.02;Intermediari del commercio di parti ed accessori di autoveicoli;;;;;
605;45.32.00;Commercio al dettaglio di parti e accessori di autoveicoli;;;;;
606;45.40.11;Commercio all'ingrosso e al dettaglio di motocicli e ciclomotori;;;;;
607;45.40.12;Intermediari del commercio di motocicli e ciclomotori;;;;;
608;45.40.21;Commercio all'ingrosso e al dettaglio di parti e accessori per motocicli e ciclomotori;;;;;
609;45.40.22;Intermediari del commercio di parti ed accessori di motocicli e ciclomotori;;;;;
610;45.40.30;Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici);;;;;
611;46;COMMERCIO ALL'INGROSSO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI);;;;;
612;46.11.01;Agenti e rappresentanti di materie prime agricole;;;;;
613;46.11.02;Agenti e rappresentanti di fiori e piante;;;;;
614;46.11.03;Agenti e rappresentanti di animali vivi;;;;;
615;46.11.04;"Agenti e rappresentanti di fibre tessili gregge e semilavorate; pelli grezze";;;;;
616;46.11.05;"Procacciatori d'affari di materie prime agricole, animali vivi, materie prime e semilavorati tessili; pelli grezze";;;;;
617;46.11.06;"Mediatori in materie prime agricole, materie prime e semilavorati tessili; pelli grezze";;;;;
618;46.11.07;Mediatori in animali vivi;;;;;
619;46.12.01;"Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti";;;;;
620;46.12.02;Agenti e rappresentanti di combustibili solidi;;;;;
621;46.12.03;Agenti e rappresentanti di minerali, metalli e prodotti semilavorati;;;;;
622;46.12.04;Agenti e rappresentanti di prodotti chimici per l'industria;;;;;
623;46.12.05;Agenti e rappresentanti di prodotti chimici per l'agricoltura (inclusi i fertilizzanti);;;;;
624;46.12.06;Procacciatori d'affari di combustibili, minerali, metalli e prodotti chimici;;;;;
625;46.12.07;Mediatori in combustibili, minerali, metalli e prodotti chimici;;;;;
626;46.13.01;Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale;;;;;
627;46.13.02;"Agenti e rappresentanti di materiale da costruzione (inclusi gli infissi e gli articoli igienico-sanitari); vetro piano";;;;;
628;46.13.03;Agenti e rappresentanti di apparecchi ed accessori per riscaldamento e condizionamento e altri prodotti similari;;;;;
629;46.13.04;Procacciatori d'affari di legname e materiali da costruzione;;;;;
630;46.13.05;Mediatori in legname e materiali da costruzione;;;;;
631;46.14.01;"Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico";;;;;
632;46.14.02;Agenti e rappresentanti di macchine per costruzioni edili e stradali;;;;;
633;46.14.03;Agenti e rappresentanti di macchine, attrezzature per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;;;;;
634;46.14.04;Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i trattori);;;;;
635;46.14.05;Agenti e rappresentanti di navi, aeromobili e altri veicoli (esclusi autoveicoli, motocicli, ciclomotori e biciclette);;;;;
636;46.14.06;Procacciatori d'affari di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;;;;;
637;46.14.07;Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;;;;;
638;46.15.01;Agenti e rappresentanti di mobili in legno, metallo e materie plastiche;;;;;
639;46.15.02;Agenti e rappresentanti di articoli di ferramenta e di bricolage;;;;;
640;46.15.03;Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera;;;;;
641;46.15.04;Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi;;;;;
642;46.15.05;"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili";;;;;
643;46.15.06;Procacciatori d'affari di mobili, articoli per la casa e ferramenta;;;;;
644;46.15.07;Mediatori in mobili, articoli per la casa e ferramenta;;;;;
645;46.16.01;Agenti e rappresentanti di vestiario ed accessori di abbigliamento;;;;;
646;46.16.02;Agenti e rappresentanti di pellicce;;;;;
647;46.16.03;Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria);;;;;
648;46.16.04;Agenti e rappresentanti di camicie, biancheria e maglieria intima;;;;;
649;46.16.05;Agenti e rappresentanti di calzature ed accessori;;;;;
650;46.16.06;Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio;;;;;
651;46.16.07;Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi;;;;;
652;46.16.08;Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;;;;;
653;46.16.09;Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;;;;;
654;46.17.01;Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati;;;;;
655;46.17.02;"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi";;;;;
656;46.17.03;Agenti e rappresentanti di latte, burro e formaggi;;;;;
657;46.17.04;Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari;;;;;
658;46.17.05;Agenti e rappresentanti di bevande e prodotti similari;;;;;
659;46.17.06;Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati e conservati e secchi;;;;;
660;46.17.07;"Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco";;;;;
661;46.17.08;Procacciatori d'affari di prodotti alimentari, bevande e tabacco;;;;;
662;46.17.09;Mediatori in prodotti alimentari, bevande e tabacco;;;;;
663;46.18.11;"Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria";;;;;
664;46.18.12;Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi abbonamenti);;;;;
665;46.18.13;Procacciatori d'affari di prodotti di carta, cancelleria, libri;;;;;
666;46.18.14;Mediatori in prodotti di carta, cancelleria, libri;;;;;
667;46.18.21;Agenti e rappresentanti di elettronica di consumo audio e video, materiale elettrico per uso domestico;;;;;
668;46.18.22;Agenti e rappresentanti di apparecchi elettrodomestici;;;;;
669;46.18.23;Procacciatori d'affari di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici;;;;;
670;46.18.24;Mediatori in elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici;;;;;
671;46.18.31;"Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico";;;;;
672;46.18.32;"Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; apparecchi per centri di estetica";;;;;
673;46.18.33;"Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico";;;;;
674;46.18.34;Procacciatori d'affari di prodotti farmaceutici e di cosmetici;;;;;
675;46.18.35;Mediatori in prodotti farmaceutici e cosmetici;;;;;
676;46.18.91;"Agenti e rappresentanti di attrezzature sportive; biciclette";;;;;
677;46.18.92;Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e oreficeria;;;;;
678;46.18.93;"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi";;;;;
679;46.18.94;Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili;;;;;
680;46.18.95;Agenti e rappresentanti di giocattoli;;;;;
681;46.18.96;Agenti e rappresentanti di chincaglieria e bigiotteria;;;;;
682;46.18.97;Agenti e rappresentanti di altri prodotti non alimentari nca (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari);;;;;
683;46.18.98;Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti nca;;;;;
684;46.18.99;Mediatori in attrezzature sportive, biciclette e altri prodotti nca;;;;;
685;46.19.01;Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno;;;;;
686;46.19.02;Procacciatori d'affari di vari prodotti senza prevalenza di alcuno;;;;;
